Key,Value
"SettingsGroupTaskbarMultiMon/Description","Customize the taskbar on multiple displays"
"SettingsGroupTaskbarMultiMon/HighKeywords","multimon;multi mon;"
"SettingsGroupTaskbarNotificationArea/Description","Taskbar notification area"
"SettingsGroupTaskbarNotificationArea/HighKeywords","taskbar;icon;icons;system;notification"
"SettingsGroupVirtualDesktops/Description","Customize virtual desktop settings"
"SettingsGroupVirtualDesktops/HighKeywords",""
"SettingsGroupWebAccounts-2/Description","Manage work or school account"
"SettingsGroupWebAccounts-2/HighKeywords",""
"SettingsGroupWebAccounts/Description","Add, remove, or manage app accounts"
"SettingsGroupWebAccounts/HighKeywords","app apps;website websites;account accounts;SSO"
"SettingsGroupYourAccount/Description","Manage your account"
"SettingsGroupYourAccount/HighKeywords","connect connects"
"SettingsPageAccountsEmailApp/Description","Your email & app account settings"
"SettingsPageAccountsEmailApp/HighKeywords","email e-mail;mail;app apps;account accounts"
"SettingsPageAccountsManage/Description","Sign-in options"
"SettingsPageAccountsManage/HighKeywords","change;fingerprint fingerprints;login;password passwords;picture pictures;sign-in"
"SettingsPageAccountsPicture/Description","Your account picture and profile settings"
"SettingsPageAccountsPicture/HighKeywords","profile profiles;user users;account accounts;picture;photo;admin admins;administrator administrators;type types;your info;my info"
"SettingsPageAccountsSync/Description","Sync your settings"
"SettingsPageAccountsSync/HighKeywords","choose chose;different;roam roams;roaming;same;setting settings;sync syncs;synced"
"SettingsPageAccountsUsers/Description","Add, edit, or remove other people"
"SettingsPageAccountsUsers/HighKeywords","other;user users people;account accounts;family families;child children;admin admins;administrator administrators;type types"
"SettingsPageActivate/Description","Activation"
"SettingsPageActivate/HighKeywords",""
"SettingsPageAppsDefaults/Description","Default app settings"
"SettingsPageAppsDefaults/HighKeywords","app apps;change;default defaults;default defaults;program programs;set sets"
"SettingsPageAppsDefaultsFileExtensionView/Description","Choose a default app for each type of file"
"SettingsPageAppsDefaultsFileExtensionView/HighKeywords","app apps;default defaults;extension extensions;file files;program programs;type types;change;the;associated;with"
"SettingsPageAppsDefaultsProtocolView/Description","Choose a default app for each protocol"
"SettingsPageAppsDefaultsProtocolView/HighKeywords","app apps;default defaults;program programs;protocol protocols"
"SettingsPageAppsNotifications/Description","Notifications & actions settings"
"SettingsPageAppsNotifications/HighKeywords","Notification notifications"
"SettingsPageBackground/Description","Background settings"
"SettingsPageBackground/HighKeywords",""
"SettingsPageBatterySaver/Description","Battery saver"
"SettingsPageBatterySaver/HighKeywords",""
"SettingsPageColors/Description","Color settings"
"SettingsPageColors/HighKeywords","dark;dark mode;light;light mode"
"SettingsPageContinuum/Description","Projecting to this PC"
"SettingsPageContinuum/HighKeywords","project;projecting;miracast;connect"
"SettingsPageDataSenseOverview/Description","Data usage settings"
"SettingsPageDataSenseOverview/HighKeywords","Data;plan;Sense;Data Sense"
"SettingsPageDevicesPen/Description","Pen settings"
"SettingsPageDevicesPen/HighKeywords","pen pens;handedness;cursor cursors;ink;Windows Ink;writing;write;pen shortcuts;workspace"
"SettingsPageDevicesPrinters-2/Description","Change default printer"
"SettingsPageDevicesPrinters-2/HighKeywords","default printer;set;change;switch"
"SettingsPageDevicesPrinters/Description","Printers & scanners"
"SettingsPageDevicesPrinters/HighKeywords","add printer;install printer;print printer printers printing;scan scanner scanners scanning;fax faxes"
"SettingsPageEaseOfAccessClosedCaptioning/Description","Closed captioning settings"
"SettingsPageEaseOfAccessClosedCaptioning/HighKeywords",""
"SettingsPageEaseOfAccessHighContrast/Description","High contrast settings"
"SettingsPageEaseOfAccessHighContrast/HighKeywords","Accessibility disability disabilities;theme themes"
"SettingsPageEaseOfAccessKeyboard/Description","Ease of Access keyboard settings"
"SettingsPageEaseOfAccessKeyboard/HighKeywords","Accessibility disability disabilities;change;how;your;works"
"SettingsPageEaseOfAccessMagnifier/Description","Magnifier settings"
"SettingsPageEaseOfAccessMagnifier/HighKeywords","Magnifier magnifiers;setting settings;Accessibility disability disabilities;Zoom"
"SettingsPageEaseOfAccessMoreOptions/Description","Other Ease of Access settings"
"SettingsPageEaseOfAccessMoreOptions/HighKeywords","Accessibility disability disabilities"
"SettingsPageEaseOfAccessMouse/Description","Ease of Access mouse settings"
"SettingsPageEaseOfAccessMouse/HighKeywords","Accessibility disability disabilities"
"SettingsPageEaseOfAccessNarrator/Description","Narrator settings"
"SettingsPageEaseOfAccessNarrator/HighKeywords","Accessibility disability disabilities"
"SettingsPageFindMyDevice/Description","Find My Device"
"SettingsPageFindMyDevice/HighKeywords","find;devices"
"SettingsPageFlights/Description","Windows Insider Program settings"
"SettingsPageFlights/HighKeywords","ring rings;risk;branch branches;preview previews;build;insider insiders;flight flights;flighting"
"SettingsPageLockScreen/Description","Lock screen settings"
"SettingsPageLockScreen/HighKeywords",""
"SettingsPageMaps/Description","Offline maps settings"
"SettingsPageMaps/HighKeywords",""
"SettingsPageMultiTasking/Description","Multitasking settings"
"SettingsPageMultiTasking/HighKeywords",""
"SettingsPageNetworkAirplaneMode/Description","Airplane mode"
"SettingsPageNetworkAirplaneMode/HighKeywords","airplane;wifi;wi-fi;wlan;wwan;cellular;bluetooth"
"SettingsPageNetworkDialup/Description","Change Dial-up settings"
"SettingsPageNetworkDialup/HighKeywords","dialup;dial-up;modem"
"SettingsPageNetworkDirectAccess/Description","Change DirectAccess settings"
"SettingsPageNetworkDirectAccess/HighKeywords","directaccess"
"SettingsPageNetworkEthernet/Description","Change Ethernet settings"
"SettingsPageNetworkEthernet/HighKeywords","ethernet;lan"
"SettingsPageNetworkMobileBroadband/Description","Change cellular settings"
"SettingsPageNetworkMobileBroadband/HighKeywords","cellular;mobile;broadband;2g;3g;4g;lte"
"SettingsPageNetworkMobileHotspot/Description","Change mobile hotspot settings"
"SettingsPageNetworkMobileHotspot/HighKeywords","tethering;hotspot hotspots"
"SettingsPageNetworkProxy/Description","Network proxy settings"
"SettingsPageNetworkProxy/HighKeywords","proxy"
"SettingsPageNetworkStatus/Description","Network status"
"SettingsPageNetworkStatus/HighKeywords","test your Internet;Internet connection;Internet;network;network speed;speed;speed test;status;network reset"
"SettingsPageNetworkVPN/Description","Change virtual private networks (VPN)"
"SettingsPageNetworkVPN/HighKeywords","vpn;virtual;private"
"SettingsPageNetworkWiFi/Description","Change Wi-Fi settings"
"SettingsPageNetworkWiFi/HighKeywords","wifi;wi-fi;wlan"
"SettingsPageNetworkWorkplace/Description","Enroll in device management (MDM)"
"SettingsPageNetworkWorkplace/HighKeywords","MDM;work;account;accounts;device management;manage;policy;enroll;workplace;enrollment;policies;company"
"SettingsPagePCSystemAutoPlay/Description","AutoPlay settings"
"SettingsPagePCSystemAutoPlay/HighKeywords","AutoPlay;drive drives;removable"
"SettingsPagePCSystemBluetooth/Description","Bluetooth settings"
"SettingsPagePCSystemBluetooth/HighKeywords","add adds;bluetooth;device devices;disable disables;enable enables;pair pairs;remove removes;unpair;change"
"SettingsPagePCSystemDevices-2/Description","Connect wireless Xbox One controllers"
"SettingsPagePCSystemDevices-2/HighKeywords","xbox;controller"
"SettingsPagePCSystemDevices/Description","Connected device settings"
"SettingsPagePCSystemDevices/HighKeywords","device devices;Projector projectors;remove removes"
"SettingsPagePCSystemDeviceSettings/Description","Mouse & touchpad settings"
"SettingsPagePCSystemDeviceSettings/HighKeywords","trackpad track pad"
"SettingsPagePCSystemDisplay/Description","Display settings"
"SettingsPagePCSystemDisplay/HighKeywords","display displays;resolution resolutions;screen screens;connect to a wireless display;landscape;portrait"
"SettingsPagePCSystemInfo/Description","About your PC"
"SettingsPagePCSystemInfo/HighKeywords","System systems"
"SettingsPagePCSystemShellMode/Description","Tablet mode settings"
"SettingsPagePCSystemShellMode/HighKeywords",""
"SettingsPagePrivacyAccountInfo/Description","Account info privacy settings"
"SettingsPagePrivacyAccountInfo/HighKeywords","user information"
"SettingsPagePrivacyCalendar/Description","Calendar privacy settings"
"SettingsPagePrivacyCalendar/HighKeywords","privacy; calendar calendars; appointment appointments"
"SettingsPagePrivacyCallHistory/Description","Call history privacy settings"
"SettingsPagePrivacyCallHistory/HighKeywords",""
"SettingsPagePrivacyContacts/Description","Contacts privacy settings"
"SettingsPagePrivacyContacts/HighKeywords","contact contacts; people; privacy"
"SettingsPagePrivacyCustomPeripherals/Description","Privacy settings for other devices"
"SettingsPagePrivacyCustomPeripherals/HighKeywords","Device privacy;Paired devices;Open devices"
"SettingsPagePrivacyEmail/Description","Email privacy settings"
"SettingsPagePrivacyEmail/HighKeywords",""
"SettingsPagePrivacyGeneral/Description","Privacy settings"
"SettingsPagePrivacyGeneral/HighKeywords",""
"SettingsPagePrivacyLocation/Description","Location privacy settings"
"SettingsPagePrivacyLocation/HighKeywords","GPS;location;locations"
"SettingsPagePrivacyMessaging/Description","Messaging privacy settings"
"SettingsPagePrivacyMessaging/HighKeywords","messaging; sms; mms; rcs; rcse; message messages; text texts; privacy"
"SettingsPagePrivacyMicrophone/Description","Microphone privacy settings"
"SettingsPagePrivacyMicrophone/HighKeywords",""
"SettingsPagePrivacyMotionData/Description","Motion privacy settings"
"SettingsPagePrivacyMotionData/HighKeywords","pedometer; activity; Activity detection"
"SettingsPagePrivacyPersonalization/Description","Speech, inking, & typing privacy settings"
"SettingsPagePrivacyPersonalization/HighKeywords","speech; inking; typing"
"SettingsPagePrivacyRadios/Description","Radio privacy settings"
"SettingsPagePrivacyRadios/HighKeywords",""
"SettingsPagePrivacySIUFSettings/Description","Feedback privacy settings"
"SettingsPagePrivacySIUFSettings/HighKeywords",""
"SettingsPagePrivacyWebcam/Description","Camera privacy settings"
"SettingsPagePrivacyWebcam/HighKeywords",""
"SettingsPageRadialController/Description","Wheel settings"
"SettingsPageRadialController/HighKeywords","Wheel wheels;Dial dials"
"SettingsPageRestoreDeveloperOptions/Description","For developers settings"
"SettingsPageRestoreDeveloperOptions/HighKeywords","for;developer developers;settings"
"SettingsPageRestoreMusUpdate/Description","Windows Update settings"
"SettingsPageRestoreMusUpdate/HighKeywords","Automatic;Autoupdate autoupdates;check checks;fix fixes;patch patches;Security;Update updates;Updater;Up-dates;Updating;Windows;Windowsupdate;Wupdater;udpate;upgrade"
"SettingsPageRestoreOneBackup/Description","Backup settings"
"SettingsPageRestoreOneBackup/HighKeywords","Backup backups;back-up back-ups;history;protect protects;secure;save;backup;copy;copies;File History"
"SettingsPageRestoreRestore/Description","Recovery options"
"SettingsPageRestoreRestore/HighKeywords",""
"SettingsPageScreenPowerAndSleep/Description","Power & sleep settings"
"SettingsPageScreenPowerAndSleep/HighKeywords",""
"SettingsPageSpeech/Description","Speech settings"
"SettingsPageSpeech/HighKeywords","speech; text-to-speech; TTS; voice"
"SettingsPageStart/Description","Start settings"
"SettingsPageStart/HighKeywords","start;screen;menu"
"SettingsPageStorageSenseSaveLocations/Description","Default save locations"
"SettingsPageStorageSenseSaveLocations/HighKeywords","Save;Location locations;Disk disks;Hard;Drive drives;File files;Storage"
"SettingsPageStorageSenseStorageOverview/Description","Storage"
"SettingsPageStorageSenseStorageOverview/HighKeywords","Disk disks;disk size; disk sizes;Storage;Sense;Space spaces;Cleanup;Clean-up;Delete;Free;Recycle;Trash;Bin;Recyclebin;Hard;Drive drives;File files;Temp;Temporary"
"SettingsPageTaskbar/Description","Taskbar settings"
"SettingsPageTaskbar/HighKeywords","task bar;taskbar;"
"SettingsPageThemes/Description","Themes and related settings"
"SettingsPageThemes/HighKeywords","theme;themes;appearance settings;appearances;themepack;pack;packs;windows online personalization gallery;mouse pointer;desktop icons;pointers;icon;advanced sound"
"SettingsPageTimeRegionDateTime/Description","Date & time settings"
"SettingsPageTimeRegionDateTime/HighKeywords","change changes;date dates;time times;zone zones"
"SettingsPageTimeRegionLanguage/Description","Region & language settings"
"SettingsPageTimeRegionLanguage/HighKeywords","change"
"SettingsPageTimeRegionSpelling/Description","Typing settings"
"SettingsPageTimeRegionSpelling/HighKeywords","keyboard keyboards"
"SettingsPageUsb/Description","USB settings"
"SettingsPageUsb/HighKeywords",""
"SettingsPageWindowsDefender/Description","Windows Defender settings"
"SettingsPageWindowsDefender/HighKeywords","antivirus;anti virus;virus viruses;malware;security;windows 10;free;protection;download;web;unwanted software;adware;ransomware;cryptolocker;removal;anti malware;best;PC security software;Internet security"
"SettingsPageWorkAccess/Description","Connect to work or school"
"SettingsPageWorkAccess/HighKeywords","join;connect;disconnect;leave;unjoin;MDM;Azure;local;AD;AAD;Active Directory;domain;work;school;account;accounts;device;sync;info;management;manage;policy;enroll;workplace;enrollment;policies;access"
"Settings_DeveloperModeGroup/Description","Use developer features"
"Settings_DeveloperModeGroup/HighKeywords","developer;features mode"
"Settings_DeviceDiscoveryGroup/Description","Turn on device discovery"
"Settings_DeviceDiscoveryGroup/HighKeywords","device;discovery"
"Settings_DevicePortalGroup/Description","Enable Device Portal"
"Settings_DevicePortalGroup/HighKeywords","device;portal"
"Settings_Group_NetworkStatus/Description","Check network status"
"Settings_Group_NetworkStatus/HighKeywords","check network status;network status;internet status"
"SystemSettings_Accessibility_CursorThickness/Description","Change how thick the cursor is"
"SystemSettings_Accessibility_CursorThickness/HighKeywords","cursor cursors;thickness"
"SystemSettings_Accessibility_IsAnimationsEnabled/Description","Turn Windows animations on or off"
"SystemSettings_Accessibility_IsAnimationsEnabled/HighKeywords","animation animations"
"SystemSettings_Accessibility_IsMouseKeysEnabled/Description","Change mouse key settings"
"SystemSettings_Accessibility_IsMouseKeysEnabled/HighKeywords",""
"SystemSettings_Accessibility_IsOverlappedContentEnabled/Description","Remove Windows background images"
"SystemSettings_Accessibility_IsOverlappedContentEnabled/HighKeywords","background backgrounds"
"SystemSettings_Accessibility_Magnifier_IsAutoStartEnabled/Description","Start Magnifier automatically"
"SystemSettings_Accessibility_Magnifier_IsAutoStartEnabled/HighKeywords","Magnifier magnifiers"
"SystemSettings_Accessibility_Magnifier_IsEnabled/Description","Turn Magnifier on or off"
"SystemSettings_Accessibility_Magnifier_IsEnabled/HighKeywords","Magnifier magnifiers"
"SystemSettings_Accessibility_Magnifier_IsFollowInsertPointEnabled/Description","Choose if Magnifier follows the text insertion point"
"SystemSettings_Accessibility_Magnifier_IsFollowInsertPointEnabled/HighKeywords","Magnifier magnifiers"
"SystemSettings_Accessibility_Magnifier_IsFollowKeyFocusEnabled/Description","Choose if Magnifier follows the keyboard focus"
"SystemSettings_Accessibility_Magnifier_IsFollowKeyFocusEnabled/HighKeywords","focus;keyboard keyboards;Magnifier magnifiers"
"SystemSettings_Accessibility_Magnifier_IsInversionColorEnabled/Description","Set up color inversion for Magnifier"
"SystemSettings_Accessibility_Magnifier_IsInversionColorEnabled/HighKeywords","color colors;inversion"
"SystemSettings_Accessibility_MouseCursorColor/Description","Change the mouse pointer color"
"SystemSettings_Accessibility_MouseCursorColor/HighKeywords",""
"SystemSettings_Accessibility_MouseCursorSize/Description","Change the mouse pointer size"
"SystemSettings_Accessibility_MouseCursorSize/HighKeywords",""
"SystemSettings_Accessibility_Narrator_IsAutoStartEnabled/Description","Start Narrator automatically"
"SystemSettings_Accessibility_Narrator_IsAutoStartEnabled/HighKeywords","Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsDuckAudioEnabled/Description","Make other apps quieter when Narrator is on"
"SystemSettings_Accessibility_Narrator_IsDuckAudioEnabled/HighKeywords","reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsEchoCharacterEnabled/Description","Choose if Narrator reads typed characters"
"SystemSettings_Accessibility_Narrator_IsEchoCharacterEnabled/HighKeywords","character characters;Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsEchoWordEnabled/Description","Choose if Narrator reads typed words"
"SystemSettings_Accessibility_Narrator_IsEchoWordEnabled/HighKeywords","Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsEnabled/Description","Turn Narrator on or off"
"SystemSettings_Accessibility_Narrator_IsEnabled/HighKeywords","Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsFastKeyEntryEnabled/Description","Choose when to turn on touch keyboard when Narrator is on"
"SystemSettings_Accessibility_Narrator_IsFastKeyEntryEnabled/HighKeywords","active;key keys"
"SystemSettings_Accessibility_Narrator_IsFollowInsertionEnabled/Description","Choose if Narrator follows the keyboard focus"
"SystemSettings_Accessibility_Narrator_IsFollowInsertionEnabled/HighKeywords","focus;keyboard keyboards;Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsHighlightCursorEnabled/Description","Highlight the cursor when using Narrator"
"SystemSettings_Accessibility_Narrator_IsHighlightCursorEnabled/HighKeywords","cursor cursors;highlight highlights;Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsPlayAudioCuesEnabled/Description","Choose if Narrator plays audio cues"
"SystemSettings_Accessibility_Narrator_IsPlayAudioCuesEnabled/HighKeywords","audio;cue cues;Narrator;reader readers;screen screens"
"SystemSettings_Accessibility_Narrator_IsReadHintsEnabled/Description","Change how Narrator reads hints for controls and buttons"
"SystemSettings_Accessibility_Narrator_IsReadHintsEnabled/HighKeywords","common;Narrator;reader readers;screen screens;Windows hint hints"
"SystemSettings_Accessibility_Narrator_SpeechPitch/Description","Change the Narrator voice's pitch"
"SystemSettings_Accessibility_Narrator_SpeechPitch/HighKeywords","narrator;reader readers;screen screens;voice voices"
"SystemSettings_Accessibility_Narrator_SpeechSpeed/Description","Change the Narrator voice's speed"
"SystemSettings_Accessibility_Narrator_SpeechSpeed/HighKeywords","Narrator;reader readers;screen screens;voice voices"
"SystemSettings_Accessibility_Narrator_SpeechVoices/Description","Change the Narrator voice"
"SystemSettings_Accessibility_Narrator_SpeechVoices/HighKeywords","Narrator;reader readers;screen screens;voice voices"
"SystemSettings_Accessibility_NotificationDuration/Description","Choose how long notifications are shown"
"SystemSettings_Accessibility_NotificationDuration/HighKeywords","Notification notifications;toast toasts"
"SystemSettings_Autoplay_IsEnabled/Description","Turn AutoPlay on or off"
"SystemSettings_Autoplay_IsEnabled/HighKeywords","AutoPlay"
"SystemSettings_BatterySaver_LandingPage_OverrideControl/Description","Turn battery saver on or off"
"SystemSettings_BatterySaver_LandingPage_OverrideControl/HighKeywords","battery saver;battery;saver;batteries"
"SystemSettings_BatterySaver_LandingPage_UsageDetailsLink-2/Description","See which apps are affecting your battery life"
"SystemSettings_BatterySaver_LandingPage_UsageDetailsLink-2/HighKeywords","battery saver;battery;saver;batteries"
"SystemSettings_BatterySaver_LandingPage_UsageDetailsLink/Description","See which hardware components are affecting your battery life"
"SystemSettings_BatterySaver_LandingPage_UsageDetailsLink/HighKeywords","battery saver;battery;saver;batteries"
"SystemSettings_Connections_PushButtonReset/Description","Network reset"
"SystemSettings_Connections_PushButtonReset/HighKeywords","network reset"
"SystemSettings_DataSense_ConfigureSetLimitButton/Description","Set up data usage limit"
"SystemSettings_DataSense_ConfigureSetLimitButton/HighKeywords","Set plan;plan;limit;set limit"
"SystemSettings_DateTime_CountryRegion/Description","Change your country or region"
"SystemSettings_DateTime_CountryRegion/HighKeywords","country countries;Location locations"
"SystemSettings_DateTime_IsAutomaticDSTAdjustEnabled/Description","Turn daylight saving time on or off"
"SystemSettings_DateTime_IsAutomaticDSTAdjustEnabled/HighKeywords","daylight;dst;saving;time times;adjust"
"SystemSettings_DateTime_IsTimeSetAutomaticallyEnabled/Description","Set the time automatically"
"SystemSettings_DateTime_IsTimeSetAutomaticallyEnabled/HighKeywords","automatic;clock clocks;sync syncs;time times"
"SystemSettings_DateTime_IsTimeZoneSetAutomaticallyEnabled/Description","Set the time zone automatically"
"SystemSettings_DateTime_IsTimeZoneSetAutomaticallyEnabled/HighKeywords","automatic"
"SystemSettings_DateTime_Set/Description","Change the date and time"
"SystemSettings_DateTime_Set/HighKeywords","clock clocks;date dates;time times"
"SystemSettings_DateTime_SetFormats/Description","Change the date and time format"
"SystemSettings_DateTime_SetFormats/HighKeywords","format formats formatted"
"SystemSettings_DateTime_TimezoneInfo/Description","Change the time zone"
"SystemSettings_DateTime_TimezoneInfo/HighKeywords","timezone"
"SystemSettings_DefaultApps_Audio/Description","Choose a default music player"
"SystemSettings_DefaultApps_Audio/HighKeywords","music"
"SystemSettings_DefaultApps_Browser/Description","Choose a default web browser"
"SystemSettings_DefaultApps_Browser/HighKeywords","browser browsers"
"SystemSettings_DefaultApps_Email/Description","Choose a default email app"
"SystemSettings_DefaultApps_Email/HighKeywords","email emails mail"
"SystemSettings_DefaultApps_Map/Description","Choose a default map app"
"SystemSettings_DefaultApps_Map/HighKeywords","map maps"
"SystemSettings_DefaultApps_Photos/Description","Choose a default photo viewer"
"SystemSettings_DefaultApps_Photos/HighKeywords","photo photos"
"SystemSettings_DefaultApps_Video/Description","Choose a default video player"
"SystemSettings_DefaultApps_Video/HighKeywords","Video videos"
"SystemSettings_Devices_Pen_EnablePixie/Description","Turn the pen cursor on or off"
"SystemSettings_Devices_Pen_EnablePixie/HighKeywords","pen pens;cursor cursors"
"SystemSettings_Devices_Pen_EnableRipple/Description","Turn pen visual feedback on or off"
"SystemSettings_Devices_Pen_EnableRipple/HighKeywords","pen pens;visual visuals"
"SystemSettings_Devices_Pen_SetArbitrationType/Description","Ignore touch input when I’m using my pen"
"SystemSettings_Devices_Pen_SetArbitrationType/HighKeywords","pen pens;touch;ignore"
"SystemSettings_Devices_Pen_SetHandedness/Description","Choose whether you are right or left handed"
"SystemSettings_Devices_Pen_SetHandedness/HighKeywords","right handed;left handed;hand;handedness;pen pens;palm;rejection"
"SystemSettings_Device_Add/Description","Add or remove devices"
"SystemSettings_Device_Add/HighKeywords","add adds;device devices"
"SystemSettings_Display_AdvancedSettings/Description","Change the screen resolution"
"SystemSettings_Display_AdvancedSettings/HighKeywords","display displays;resolution resolutions;screen screens;screen screens"
"SystemSettings_Display_Brightness/Description","Adjust the brightness level of the display"
"SystemSettings_Display_Brightness/HighKeywords","bright;brightness"
"SystemSettings_Display_Duplicate/Description","Change settings for multiple displays"
"SystemSettings_Display_Duplicate/HighKeywords","connect connects;display displays;duplicate duplicates;extend extends;monitor monitors;Multimon;projection"
"SystemSettings_Display_IdentifyDetectWireless/Description","Detect or identify a display"
"SystemSettings_Display_IdentifyDetectWireless/HighKeywords","display displays;find finds;monitor monitors"
"SystemSettings_Display_IsAutoBrightnessEnabled/Description","Turn auto brightness on or off"
"SystemSettings_Display_IsAutoBrightnessEnabled/HighKeywords","bright;brightness;auto-brightness;auto brightness;adapt;adaptive"
"SystemSettings_Display_IsRotationLocked/Description","Turn rotation lock on or off"
"SystemSettings_Display_IsRotationLocked/HighKeywords","rotation;rotate;lock;orientation"
"SystemSettings_Display_MainMonitor/Description","Choose a monitor to be the main display"
"SystemSettings_Display_MainMonitor/HighKeywords","Multimon;primary"
"SystemSettings_Display_Monitors/Description","Rearrange multiple displays"
"SystemSettings_Display_Monitors/HighKeywords","monitor monitors;Multimon;re-arrange"
"SystemSettings_Display_Orientation/Description","Change the screen orientation"
